origin,55,30,25
edge,226,238
edge,483,495
edge,242,243
edge,499,500
edge,242,254
edge,499,511
edge,513,514
edge,258,259
edge,3,4
edge,513,525
edge,258,270
edge,3,15
edge,529,530
edge,274,275
edge,19,20
edge,529,541
edge,274,286
edge,19,31
edge,545,546
edge,290,291
edge,545,557
edge,290,302
edge,35,47
edge,561,562
edge,306,307
edge,51,52
edge,1,565
edge,561,573
edge,306,318
edge,51,63
edge,322,323
edge,67,68
edge,322,334
edge,67,79
edge,338,339
edge,338,350
edge,83,95
edge,354,355
edge,99,100
edge,354,366
edge,99,111
edge,370,371
edge,115,116
edge,370,382
edge,115,127
edge,386,387
edge,386,398
edge,131,143
edge,402,403
edge,147,148
edge,402,414
edge,147,159
edge,418,419
edge,163,164
edge,418,430
edge,163,175
edge,434,435
edge,434,446
edge,179,191
edge,450,451
edge,195,196
edge,450,462
edge,195,207
edge,466,467
edge,211,212
edge,466,478
edge,211,223
edge,482,483
edge,482,494
edge,227,239
edge,498,499
edge,243,244
edge,498,510
edge,243,255
edge,245,257
edge,502,514
edge,4,5
edge,261,262
edge,518,519
edge,4,16
edge,261,273
edge,518,530
edge,20,21
edge,277,278
edge,534,535
edge,20,32
edge,277,289
edge,534,546
edge,36,37
edge,293,294
edge,550,551
edge,36,47
edge,36,48
edge,293,305
edge,550,562
edge,52,53
edge,309,310
edge,566,567
edge,6,570
edge,52,64
edge,309,321
edge,68,69
edge,325,326
edge,68,80
edge,325,337
edge,84,85
edge,341,342
edge,84,95
edge,84,96
edge,341,353
edge,100,101
edge,357,358
edge,100,112
edge,357,369
edge,116,117
edge,373,374
edge,116,128
edge,373,385
edge,132,133
edge,389,390
edge,132,143
edge,132,144
edge,389,401
edge,148,149
edge,405,406
edge,148,160
edge,405,417
edge,164,165
edge,421,422
edge,164,176
edge,421,433
edge,180,181
edge,437,438
edge,180,191
edge,180,192
edge,437,449
edge,196,197
edge,453,454
edge,196,208
edge,453,465
edge,212,213
edge,469,470
edge,212,224
edge,469,481
edge,228,229
edge,485,486
edge,228,239
edge,228,240
edge,485,497
edge,244,245
edge,501,502
edge,244,256
edge,503,515
edge,260,261
edge,5,6
edge,519,520
edge,260,272
edge,5,17
edge,519,531
edge,276,277
edge,21,22
edge,535,536
edge,276,287
edge,276,288
edge,21,33
edge,535,547
edge,292,293
edge,37,38
edge,292,304
edge,37,49
edge,551,563
edge,308,309
edge,53,54
edge,567,568
edge,7,571
edge,308,320
edge,53,65
edge,324,325
